frame_len,window,signal,method,runtime_s
1024,hann,sine,classical,6.41669612377882e-05
1024,hann,sine,classical,8.758303010836244e-05
1024,hamming,sine,classical,3.766600275412202e-05
1024,hamming,sine,classical,3.691698657348752e-05
1024,hamming,sine,classical,3.6874960642308e-05
1024,hamming,sine,classical,3.729201853275299e-05
1024,hamming,sine,classical,6.166601087898016e-05
1024,hamming,sine,classical,6.387504981830716e-05
1024,hamming,sine,classical,6.17500045336783e-05
1024,hamming,sine,classical,6.316602230072021e-05
1024,blackman,sine,classical,4.1834020521491766e-05
1024,blackman,sine,classical,4.0666956920176744e-05
1024,blackman,sine,classical,4.0917017031461e-05
1024,blackman,sine,classical,4.962499951943755e-05
1024,blackman,sine,classical,6.70420122332871e-05
1024,blackman,sine,classical,6.600003689527512e-05
1024,blackman,sine,classical,6.483402103185654e-05
1024,blackman,sine,classical,7.295800605788827e-05
1024,rect,sine,classical,3.98330157622695e-05
1024,rect,sine,classical,3.9249949622899294e-05
1024,rect,sine,classical,4.299997817724943e-05
1024,rect,sine,classical,4.295801045373082e-05
1024,rect,sine,classical,7.512501906603575e-05
1024,rect,sine,classical,8.820800576359034e-05
1024,rect,sine,classical,7.324997568503022e-05
1024,rect,sine,classical,7.170898607000709e-05
1024,hann,sine,classical,4.420900950208306e-05
1024,hann,sine,classical,4.4082989916205406e-05
1024,hann,sine,classical,5.3499999921768904e-05
1024,hann,sine,classical,4.9667025450617075e-05
1024,hann,sine,classical,8.683401392772794e-05
1024,hann,sine,classical,7.54169886931777e-05
1024,hann,sine,classical,8.204102050513029e-05
1024,hann,sine,classical,7.616699440404773e-05
1024,hamming,sine,classical,5.324999801814556e-05
1024,hamming,sine,classical,4.662497667595744e-05
1024,hamming,sine,classical,4.737498238682747e-05
1024,hamming,sine,classical,4.441698547452688e-05
1024,hamming,sine,classical,0.00011529098264873028
1024,hamming,sine,classical,8.520798292011023e-05
1024,hamming,sine,classical,8.666602661833167e-05
1024,hamming,sine,classical,8.304201764985919e-05
1024,blackman,sine,classical,5.337502807378769e-05
1024,blackman,sine,classical,5.3916010074317455e-05
1024,blackman,sine,classical,5.6500022765249014e-05
1024,blackman,sine,classical,5.287496605888009e-05
1024,blackman,sine,classical,8.745898958295584e-05
1024,blackman,sine,classical,8.804199751466513e-05
1024,blackman,sine,classical,9.991700062528253e-05
1024,blackman,sine,classical,8.937501115724444e-05
1024,rect,sine,classical,5.495903315022588e-05
1024,rect,sine,classical,5.058303941041231e-05
1024,rect,sine,classical,4.9875001423060894e-05
1024,rect,sine,classical,5.34169957973063e-05
1024,rect,sine,classical,9.112496627494693e-05
1024,rect,sine,classical,9.312498150393367e-05
1024,rect,sine,classical,0.00011574995005503297
1024,rect,sine,classical,9.841599967330694e-05
1024,hann,sine,classical,6.00829953327775e-05
1024,hann,sine,classical,5.4917007219046354e-05
1024,hann,sine,classical,5.420803790912032e-05
1024,hann,sine,classical,6.295798812061548e-05
1024,hann,sine,classical,0.00011533399811014533
1024,hann,sine,classical,0.00011437502689659595
1024,hann,sine,classical,9.887496707960963e-05
1024,hann,sine,classical,0.00011883297702297568
1024,hamming,sine,classical,5.7582976296544075e-05
1024,hamming,sine,classical,6.479100557044148e-05
1024,hamming,sine,classical,6.070802919566631e-05
1024,hamming,sine,classical,6.241601658985019e-05
1024,hamming,sine,classical,0.00010175001807510853
1024,hamming,sine,classical,9.762501576915383e-05
1024,hamming,sine,classical,0.00011354201706126332
1024,hamming,sine,classical,9.891699301078916e-05
1024,blackman,sine,classical,5.900004180148244e-05
1024,blackman,sine,classical,6.17500045336783e-05
1024,blackman,sine,classical,7.30830361135304e-05
1024,blackman,sine,classical,6.250001024454832e-05
1024,blackman,sine,classical,0.00010200001997873187
1024,blackman,sine,classical,0.00010125001426786184
1024,blackman,sine,classical,0.00010245799785479903
1024,blackman,sine,classical,0.00010916596511378884
1024,rect,sine,classical,9.070796659216285e-05
1024,rect,sine,classical,8.783297380432487e-05
1024,rect,sine,classical,8.725002408027649e-05
1024,rect,sine,classical,9.44580533541739e-05
1024,rect,sine,classical,0.00017995800590142608
1024,rect,sine,classical,0.00019150000298395753
